,,,,,,,dairy\| grains,fungi\| grains,meat\| poultry,,,,,,,,,environmental\-abattoir\| pig,,environmental\-factory/production facility\| environmental\-vehicle\| food,
,,,,,,,dairyother \(confectionery\),fungi\| nuts,meat\| beef,,,,,,,,,environmental\-abattoir\| poultry,,environmental\-factory/production facility\| fish,
,,,,,,,dairyseeded vegetables \(solanaceous\),grains,meat\| other animal,,,,,,,,,"environmental\-animal housing\, chicken",,environmental\-factory/production facility\| fish\| multi\-ingredient,
,,,,,,,fish\| herbs,melon fruit,"meat\| beef\,beef",,,,,,,,,environmental\-animal housing\| other animal,,environmental\-factory/production facility\| food,
,,,,,,,fish\| oils,melon fruit\| seeds,meat\| chicken,,,,,,,,,environmental\| chicken,,environmental\-factory/production facility\| grains,
,,,,,,,fish herbs,pome fruit,meat\| cow,,,,,,,,,environmental\| other animal,,environmental\-factory/production facility\| meat,
,,,,,,,grains\| mollusks \(bi\-valve\)\| seeded vegetables \(vine\-grown\),root/underground,meat\| pork,,,,,,,,,environmental\| poultry,,environmental\-factory/production facility\| multi\-ingredient,
,,,,,,,grains\| other \(confectionery\),root/underground \(tubers\),other meat,,,,,,,,,environmental \| cow,,environmental\-factory/production facility\| other animal,
,,,,,,,grains\| herbs,root/underground \(bulbs\),other poultry,,,,,,,,,environmental \| other animal,,environmental\-factory/production facility\| pork,
,,,,,,,grains\| pork,root/underground \(roots\),poultry,,,,,,,,,environmental\| companion animal,,environmental\-factory/production facility\| turkey,
,,,,,,,grains\| seeds,root/underground \(roots\)\| seeded vegetables \(legumes\),pork,,,,,,,,,environmental\| cow,,environmental\-factory/production facility\| vegetable row crops\| vegetables,
,,,,,,,herbs\| meat,root/underground \(bulbs\) \| root/underground \(tubers\),pork\| turkey,,,,,,,,,environmental\| dairy,,environmental\-factory/production facility \| environmental\-water,
,,,,,,,herbs\| meat\| other \(flavoring or seasoning\),root/underground \(bulbs\)\| sprouts,turkey,,,,,,,,,environmental\| pig,,environmental\-factory/production facility\| eggs,
,,,,,,,herbs\| seeded vegetables \(other\),root/underground \(other\),,,,,,,,,,environmental \| chicken,,environmental\-factory/production facility\| environmental\-water,
,,,,,,,herbs\| sub\-tropical fruit,root/underground \(other\)\| seeded vegetables \(other\),,,,,,,,,,environmental \| cow \| other animal,,environmental\-factory/production facility\| environmental\-water\| sprouts,
,,,,,,,herbs\|meat,root/underground\| sprouts,,,,,,,,,,environmental \| wild animal,,environmental\-factory/production facility\| nuts,
,,,,,,,meat\| other \(sweetener\),seeded vegetables \(solanaceous\),,,,,,,,,,environmental\| cow\| other animal,,environmental\-factory/production facility\| water,
,,,,,,,mollusks \(non\-bi\-valve\)\| multi\-ingredient,seeded vegetables \(other\),,,,,,,,,,environmental\| cow\| plant,,environmental\-factory/production facility \| grains\| other \(confectionery\),
,,,,,,,multi\-ingredient,seeded vegetables \(legumes\)\| sprouts,,,,,,,,,,environmental\| turkey,,environmental\-factory/production facility\| grains\| other \(confectionery\),
,,,,,,,multi\-ingredient\| beans,seeded vegetables \(vine\-grown\),,,,,,,,,,environmental\| wild animal,,environmental\-factory/production facility\| other \(confectionery\),
,,,,,,,multi\-ingredient\| poultry,seeded vegetables \(legumes\),,,,,,,,,,environmental poultry,,environmental\-factory/production facility\| other \(confectionery\)\| seeds,
,,,,,,,mult\-ingredient\|fungi,seeded vegetables \(solanaceous\)\| stone fruit,,,,,,,,,,environmental\-farm\| dairy,,environmental\-factory/production facility\| other \(sweetener\),
,,,,,,,multi\-ingredient\| grains\| root/underground \(tubers\),seeded vegetables \(legumes\)\| seeds,,,,,,,,,,environmental\-farm,,environmental\-factory/production facility\| seeds,
,,,,,,,multi\-ingredient\|eggs\|root/underground \(tubers\),seeded vegetables \(legumes\)\| sprouts\| seeds,,,,,,,,,,environmental\-farm\| poultry,,environmental\| poultry\| meat,
,,,,,,,multi\-ingredient\|root/underground \(tubers\),seeded vegetables \(solanaceous\)\| other \(flavoring or seasoning\),,,,,,,,,,environmental\-farm\| seeded vegetables \(legumes\),,environmental\| meat,
,,,,,,,multi\-ingredient\|small fruit,seeded vegetables \(solanaceous\)\| small fruit,,,,,,,,,,environmental\-farm\| water,,environmental\| avian\| eggs,
,,,,,,,multi\-ingredient\| beef,small fruit,,,,,,,,,,environmental\-farm\| cow,,environmental\| cow\| meat,
,,,,,,,multi\-ingredient\| cow,sprouts,,,,,,,,,,environmental\-farm\| environmental\-water,,environmental\| dietary supplement,
,,,,,,,multi\-ingredient\| dairy\| other animal,sprouts\| vegetable row crops \(flower\),,,,,,,,,,environmental\-farm\| other animal,,environmental\| eggs,
,,,,,,,multi\-ingredient\| game\| pork,stone fruit,,,,,,,,,,environmental\-farm\| chicken,,environmental\| herbs\| other \(flavoring or seasoning\),
,,,,,,,multi\-ingredient\| meat,stone fruit\| sub\-tropical fruit,,,,,,,,,,environmental\-farm\| chicken\| game,,environmental\| other \(food additive\),
,,,,,,,multi\-ingredient\| mollusks \(bi\-valve\),sub\-tropical fruit,,,,,,,,,,environmental\-farm\| environmental\-vehicle,,environmental\| pork,
,,,,,,,multi\-ingredient\| nuts,tropical fruit,,,,,,,,,,environmental\-farm\| environmental\-vehicle\| pig,,environmental\| seeded vegetables \(solanaceous\),
,,,,,,,multi\-ingredient\| nuts\| seeded vegetables \(legumes\),vegetable row crops,,,,,,,,,,environmental\-farm\| seeded vegetables \(solanaceous\),,environmental\| vegetables,
,,,,,,,multi\-ingredient\| pork,vegetable,,,,,,,,,,environmental\-pasture\| cow,,,
,,,,,,,multi\-ingredient\| seeded vegetables \(legumes\),vegetable row crops \(leafy\),,,,,,,,,,environmental\-pasture\| other animal,,,
,,,,,,,multi\-ingredient\| seeds,vegetable row crops \(stem\),,,,,,,,,,"environmental\-farm\, water",,,
,,,,,,,multi\-ingredient\| vegetable row crops \(leafy\),vegetable row crops \| vegetables,,,,,,,,,,environmental\-pasture,,,
,,,,,,,"multi\-ingredient\, other \(flavoring or seasoning\)",vegetables,,,,,,,,,,,,,
,,,,,,,multi\-ingedient\| dairy,vegetables\| environmental\-farm,,,,,,,,,,,,,
,,,,,,,multi\-ingredient \| fish,vegetable row crops \(flower\),,,,,,,,,,,,,
,,,,,,,multi\-ingredient \| pork,vegetable row crops \(flower\)\|sprouts,,,,,,,,,,,,,
,,,,,,,multi\-ingredient;vegetable,vegetable row crops \(leafy\)\| seeds,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\'\| pome fruit,,,,,,,,,,,,,,
,,,,,,,"multi\-ingredient\,seeded vegetables \(legumes\)\| beef",,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| algae,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| aquatic animals,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beans\| seeded vegetables \(legumes\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beef\| chicken,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beef\| chicken\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beef\| dairy,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beef\| dairy\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beef\| fish,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beef\| grains,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beef\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beef\| pork\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beef\| root/underground \(tubers\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| dairy,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| fruits\| nuts,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| grains,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| herbs,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| nuts,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| other \(sweetener\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| seeded vegetables \(solanaceous\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| vegetable row crops \(leafy\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| vegetables,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| cow\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| crustacean,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| crustaceans,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| crustaceans\| oils\| other \(flavoring or seasoning\)\| root/underground \(bulbs\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| eggs,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| fish,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| fruits\| other \(confectionery\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| fungi,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| grains\| meat,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| grains\| other \(confectionery\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| grains\| other \(confectionery\)\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| meat,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| other \(confectionery\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| other \(confectionery\)\| root/underground \(other\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| other \(confectionery\)\| sub\-tropical fruit,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| other animal\| vegetables,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| other other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| pome fruit,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| pome fruit\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| pork\| root/underground \(bulbs\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| pork\| seeded vegetables \(solanaceous\)\| vegetable row crops \(leafy\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| pork\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| root/underground,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| root/underground \(bulbs\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| seeded vegetables \(solanaceous\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| seeded vegetables \(solanaceous\)\| pork\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| sub\-tropical fruit,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| diary,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| diary\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| eggs,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| eggs\| herbs,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| eggs\| meat,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| eggs\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| eggs\| root/underground \(tubers\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| eggs\| seeded vegetables \(solanaceous\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| engineered seafood,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| engineered seafood\| grains,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fish,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fish\| egg,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fish\| oils,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fish\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fish\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fruits\| grains\| other \(confectionery\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fruits\| herbs,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| game,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grain,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\)\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| herbs,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| meat,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| meat\| other \(confectionery\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\|vegetables,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| herbs\| meat,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| herbs\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| meat\| vegetable row crops,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| mollusks \(non\-bi\-valve\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| nuts\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| other \(confectionery\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| other \(confectionery\)\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| other \(sweetener\)\| seeds,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| other \(sweetener\)\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| other other \(flavoring or seasoning\)\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| pig,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| pome fruit\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| pork\| poultry,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| pork\| root/underground \(bulbs\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| pork\| seeded vegetables \(solanaceous\)\| turkey\| vegetable row crops \(leafy\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| pork\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| poultry\| diary,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| poultry\| fungi\| root/underground \(bulbs\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| poultry\| grains\| nuts,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| poultry\| nut,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| poultry\| other \(sweetener\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| root/underground \(bulbs\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| root/underground \(tubers\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| seeded vegetables \(legumes\)\| grains,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| seeded vegetables \(other\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| seeded vegetables \(solanaceous\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| seeded vegetables \(vine\-grown\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| sprouts,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| sub\-tropical fruit,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| vegetable row crops \(flower\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| vegetable row crops \(flower\)\| vegetable row crops \(leafy\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| vegetables,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\|dairy\|grains\|pork\|root/underground \(tubers\)\|turkey,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\|vegetable row crops \(leafy\),,,,,,,,,,,,,,
,,,,,,,muti\-ingedient\| dairy\| fish,,,,,,,,,,,,,,
,,,,,,,muti\-ingedient\|dairy\|fish,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient \| grains \| seeded vegetables \(other\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient \| nuts \| seeded vegetables \(legumes\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient \| plant,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient \| seeds,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient beans seeded vegetables \(legumes\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient crustaceans,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient fish herbs,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient mollusks \(non\-bi\-valve\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient nuts,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient seeded vegetables \(legumes\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient seeds,,,,,,,,,,,,,,
,,,,,,,"multi\-ingredient\, fish",,,,,,,,,,,,,,
,,,,,,,"multi\-ingredient\, other animal",,,,,,,,,,,,,,
,,,,,,,"multi\-ingredient\, seeded vegetables \(legumes\)",,,,,,,,,,,,,,
,,,,,,,"multi\-ingredient\, seeds",,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| animal feed,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| avian\| eggs\| seeded vegetables \(other\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beans\| beef\| chicken\| seeded vegetables \(legumes\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beans\| grains\| nuts\| seeded vegetables \(legumes\)\| seeds,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beans\| other \(food additive\)\| seeds,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beans\| root/underground \(bulbs\)\| seeded vegetables \(legumes\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beans\| seeded vegetables \(other\)\| seeds,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beef\| dairy\| herbs,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| beef\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| dairy\| vegetable row crops \(flower\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| fish,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| grains\| other \(confectionery\),,,,,,,,,,,,,,
,,,,,,,"multi\-ingredient\| chicken\| other \(flavoring or seasoning\)\\,",,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| plant,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| root/underground \(other\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| seeded vegetables \(legumes\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| seeded vegetables \(legumes\)\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| chicken\| vegetable row crops \(flower\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| clinical/research,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| confectionary,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| confectionery,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| confectionery\| diary,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| confectionery\| nuts,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| confectionery\| small fruit,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| crustaceans\| grains,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| crustaceans\| pork,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| eggs\| oils\| other \(sweetener\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| grains,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| nuts,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| nuts\| root/underground \(bulbs\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| other \(flavoring or seasoning\)\| meat,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| other \(flavoring or seasoning\)\| vegetable row crops \(leafy\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| other \(food additive\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| seeded vegetables \(other\)\| seeded vegetables \(solanaceous\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dairy\| small fruit,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| dietary supplement,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| eggs\| seeded vegetables \(other\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fish\| grains,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fish\| seeded vegetables \(solanaceous\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fruits,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fruits\| grains,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fruits\| grains\| seeded vegetables \(other\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fruits\| herbs\| vegetable row crops \(flower\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fruits\| seeded vegetables \(solanaceous\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| fruits\| vegetables,,,,,,,,,,,,,,
,,,,,,,"multi\-ingredient\| grains\\,vegetables",,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| mollusks \(non\-bi\-valve\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| nuts,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| nuts\| other \(confectionery\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| other \(confectionery\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| other \(confectionery\)\| seeds,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| other \(flavoring or seasoning\)\| seeded vegetables \(solanaceous\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| seeds,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| vegetable row crops \(leafy\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| grains\| vegetables\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| herbs,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| herbs\| other \(confectionery\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| herbs\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| herbs\| seeded vegetables \(solanaceous\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| herbs\| seeded vegetables \(solanaceous\)\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| herbs\| seeds,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| herbs\| vegetable row crops \(flower\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| meat\| multi\-ingredient\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| meat\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| meat\| vegetables,,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| mollusks \(bi\-valve\)\| mollusks \(non\-bi\-valve\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| nuts\| other \(confectionery\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| nuts\| other \(confectionery\)\| seeded vegetables \(legumes\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| nuts\| other \(flavoring or seasoning\),,,,,,,,,,,,,,
,,,,,,,multi\-ingredient\| nuts\| other \(food additive\),,,,,,,,,,,,,,
